"","Year","113 Cause Name","Cause Name","State","Deaths","Age-adjusted Death Rate","Employer","Non-Group","Medicaid","Medicare","Military","Uninsured","Total","Region","low_income_insurance"
"1",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","United States",169936,49.4,0.493,0.065,0.206,0.135,"0.014",0.088,1,"US",0.294
"2",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Alabama",2703,53.8,0.46,0.062,0.206,0.157,"0.02",0.095,1,"Southeast",0.301
"3",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Alaska",436,63.7,0.452,0.032,0.22,0.089,"0.068",0.139,1,"West",0.359
"4",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Arizona",4184,56.2,0.449,0.058,0.223,0.153,"0.016",0.1,1,"Southwest",0.323
"5",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Arkansas",1625,51.8,0.415,0.063,0.27,0.155,"0.017",0.08,1,"Southeast",0.35
"6",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","California",13840,33.2,0.471,0.074,0.264,0.108,"0.009",0.072,1,"West",0.336
"7",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Colorado",3037,53.6,0.508,0.075,0.197,0.122,"0.024",0.075,1,"West",0.272
"8",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Connecticut",2078,53.2,0.538,0.059,0.203,0.136,"0.007",0.056,1,"Northeast",0.259
"9",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Delaware",608,61.9,0.531,0.052,0.179,0.167,"0.015",0.056,1,"Northeast",0.235
"10",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Florida",13059,56.1,0.397,0.097,0.186,0.172,"0.019",0.129,1,"Southeast",0.315
"11",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Georgia",4712,45.2,0.486,0.065,0.174,0.118,"0.023",0.134,1,"Southeast",0.308
"12",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Hawaii",585,35.7,0.541,0.048,0.175,0.147,"0.05",0.038,1,"West",0.213
"13",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Idaho",876,49.8,0.465,0.095,0.175,0.14,"0.018",0.107,1,"West",0.282
"14",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Illinois",6019,44.4,0.534,0.06,0.2,0.131,"0.006",0.069,1,"Midwest",0.269
"15",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Indiana",3978,58.7,0.529,0.054,0.181,0.142,"0.009",0.084,1,"Midwest",0.265
"16",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Iowa",1536,42.8,0.553,0.067,0.18,0.148,"0.008",0.044,1,"Midwest",0.224
"17",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Kansas",1567,49.4,0.546,0.069,0.135,0.139,"0.025",0.085,1,"Midwest",0.22
"18",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Kentucky",3264,72.9,0.464,0.045,0.271,0.151,"0.014",0.055,1,"Southeast",0.326
"19",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Louisiana",2780,58.9,0.435,0.058,0.283,0.127,"0.015",0.083,1,"Southeast",0.366
"20",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Maine",990,68,0.492,0.065,0.181,0.167,"0.017",0.078,1,"Northeast",0.259
"21",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Maryland",2408,36.9,0.562,0.056,0.178,0.124,"0.018",0.061,1,"Northeast",0.239
"22",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Massachusetts",3821,51.5,0.552,0.054,0.236,0.125,"0.005",0.028,1,"Northeast",0.264
"23",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Michigan",5623,53,0.514,0.054,0.224,0.151,"0.006",0.051,1,"Midwest",0.275
"24",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Minnesota",2788,44.6,0.575,0.058,0.173,0.142,"0.007",0.045,1,"Midwest",0.218
"25",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Mississippi",1738,56.3,0.42,0.06,0.244,0.134,"0.021",0.121,1,"Southeast",0.365
"26",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Missouri",3776,58.8,0.515,0.07,0.149,0.16,"0.015",0.091,1,"Midwest",0.24
